Nederlands;Gronings
Marnixs aan de praat ga.” “Ik wil verdomme nog eens kijken bij het huis van de grote kunstenaar.”;Marnixs aan de babbel goa.” “Ik wil dommit nog ais kieken bie de grode kunstenoar zien hoes.”
Zo verstreek de tijd met schrijfwerk en geklets over het geval;Zo verstreek de tied mit schrieverij en prakkezaaierderij over t geval
Bonte;Bonte
Weerdena stond achter het huis en had een grote witte lange onderbroek in zijn vlaggenmast gehesen.;Weerdena ston achter t hoes en haar n grode widde laange onderboksem in zien vlagenmast hesen.
Als eerbetoon aan zijn achterbuurman, die was meegenomen door de politie.;As eerbetoon aan zien achterbuurman, dij mitnomen was deur plietsie.
Hij kon de man niet uitstaan, ook al had Marnixs hem niets gedaan.;Hai kon de man nait stoan, ook al haar Marnixs hom niks doan.
Weerdena hield graag van plagen en daar kon de kunstenaar niet tegen.;Weerdena mog groag nittjen en doar kon de kunstenoar nait tegen.
De toegang over de weg was vrij, dat kon een klein kind bedenken.;De tougang over de ree was vrij, dat kon n klaain kind bedenken.
Maar de gek was er met boter en suiker ingegaan.;Mor de krullebol was der mit botter en sukker ingoan.
En daar had Bonte Weerdena zijn slinger aan.;En doar haar Bonte Weerdena zien slinger aan.
Toen Ester Edens voorbij reed, stak ze haar hand op.;Dou Ester Edens veurbie ree, stak e haand op.
Een mooie vrouw, dacht Bonte.;n Schiere vraauw, docht Bonte.
Een mooie vrouw.;n Schiere vraauw.
Veel te jong, maar toch een mooie vrouw.;Veuls te jong, mor toch n schiere vraauw.
Ester hobbelde over het zandpad naar het huis van Bertil Marnixs.;Ester hobbelde over de zandloan noar t hoes van Bertil Marnixs.
Dat was geen pretje, omdat ze noodzakelijk moest.;Dat was gain pretje, omreden dat ze neudeg mos.
Ze was voor het vertrek van het bureau nog geweest, maar het was weer erg vandaag.;Ze was veur t vertrek van t buro nog west, mor t was weer slim vandoag.
Elk hobbeltje, hoe klein ook, deed haar zeer in de lieven.;Elk hobbeltje, hou klaain ook, dee heur zeer in t lief.
Even overwoog ze om te stoppen en om het achter de vlierbesstruiken te doen.;Eefkes overwoog ze om te stoppen en om t achter de vledderstroeken te doun.
Maar dat gunde ze Bonte Weerdena ook niet.;Mor dat gunde ze Bonte Weerdena ook nait.
En na de verhalen van Dubbeldam over het interieur, was ze bij hem ook niet gestopt.;En noa de verhoalen van Dubbeldam over t interieur, was ze bie hom ook nait stopt.
Nog even en dan kon ze bij het huis van Marnixs haar plas kwijt.;Nog eefkes en den kon ze bie t hoes van Marnixs heur plas wel kwiet.
Toen ze uitstapte stond ze oog in oog met een vrouw.;Dou ze oetstapte ston ze oog in oog mit n vraauw.
“Oh mevrouw, mevrouw, mag ik hier wel even naar het toilet?”;“Oh mevraauw, mevraauw, mag ik hier wel eefkes noar toilet?”
Dat was van de nood een deugd maken, dacht ze.;Dat was van de nood n deugd moaken, docht ze.
Ze had geen enkel recht om hier binnen te gaan.;Ze haar gain enkel recht om hier binnen te goan.
Maar soms moet een mens ook wat geluk hebben.;Mor sums mout n minsk ook wat geluk hebben.
kop in toen stond.;kop in toen stond.
Ze had blijkbaar geen haast met haar verzorging.;Ze haar bliekboar gain hoast mit heur verziede.
Ze keek rond in een andere kamer.;Ze keek rond in n aander koamer.
Hier was ze gisteren niet geweest.;Hier was ze guster nait west.
Ook hier hingen schilderijen.;Ook hier hingen schilderijen.
Deze man was een begaafd schilder.;Dizze man was n begoafde schilder.
Hij wist met lichte heldere penseelstreken een beeld te vangen.;Hai zag kaans om mit lichte heldere penseelstreken n beeld te vangen.
Als je vlak voor de schilderijen ging staan, was het een hoop verf en geklodder.;As je stoef op veurstellen stoan gingen, was t n hoop vaarf en geklodder.
Ging je er een paar meter van af staan, dan kwam als bij toverslag het beeld tevoorschijn.;Ging je der n poar meter vanòf stoan, den kwam as bie toverslag t beeld teveurschien.
Ze vond het wonderlijk mooi.;Ze vond t meroakel mooi.
In gedachten had ze in haar eigen huis al een plekje gereserveerd voor een landschap van anderhalf bij een meter.;In gedachten haar ze in heur aigen hoes aal n plekje reserveerd veur n landschop van anderhaalf bie n meter.
Dat zou nog eens mooi zijn.;Dat zol nog ais mooi wezen.
Ze dwaalde door het huis en kwam in een werkplaats.;Ze dwoalde deur t hoes en kwam in n waarkploats.
Hier was Marnix aan het schilderen.;Hier was Marnixs aan t schildern.
Vijf schildersezels stonden verspreid door de grote lichte ruimte.;Vief schildersezels stonden hinter en twinter deur de grode lichte roemte.
De man werkte aan vijf schilderijen tegelijk.;De man waarkte aan vief schilderijen tegeliek.
Drie landschappen en twee portretten zag Ester.;Drij landschappen en twij portretten zag Ester.
Een schier eindeloos koolzaadveld, een leeg landschap met kromgewaaide bomen.;n Schier ìndeloos koolzoadveld, n leeg landschap mit kromgewaaide bomen.
Eén met grote lompe koeien in een kamp groen land met duizenden korenbloemen.;Aine mit grode lompe koien in n kaamp gruin laand mit doezenden peerdebloumen.
En dan was er de noordelijke kant van Zandplaat.;En den was der de noordelke kaant van Saandploat.
Deze zou ook mooi lijken bij haar thuis aan de muur, dacht ze.;Dizze zol ook mooi lieken bie heur thoes aan muur, docht ze.
En dan keek ze recht in het gezicht van Vera Reker.;En den keek ze recht in gezicht van Vera Reker.
Vera Reker schilderde voor een raam.;Vera Reker schilderd veur n roam.
Het raam stond open en er was uitzicht op de zee.;t Roam stond open en der was oetzicht op de zee.
Haar zee.;Heur zee.
De zee van haar jeugd.;De zee van heur jeugd.
Ze zuchtte diep.;Ze zuchtte daip.
In een lade vond ze zeker twintig tot vijfentwintig tekeningen en schetsen van Vera Reker.;In n loa vond ze zeker twinteg tot viefentwinteg taikens en schetsen van Vera Reker.
Marnix mocht nu niet meer zeggen, dat hij nog nooit gehoord had van deze vrouw.;Marnixs mos nou nait meer zeggen, dat e nog noeit heurd haar van dizze vraauw.
Zo dwaalde ze door het atelier en bekeek de honderden kwasten en blikken verf.;Zo dwoalde ze deur t atelier en bekeek de honderden kwasten en blikken vaarf.
De tuben met zoveel verschillende kleuren, dat het haar duizelde voor de ogen.;De tuben mit zoveul verschillende kleuren, dat t heur doezelde veur ogen.
In een hoekje bedekt met lappen en ander onduidelijk spul zag ze een werktafel staan.;In n houkje bedekt mit lappen en aander ondudelk spul zag ze n waarktoavel stoan.
Het was vroeger een eettafel geweest, één met allure.;t Was vrouger n eettoavel west, aine mit allure.
Sierlijke bolpoten en gemaakt van zwaar eikenhout.;Schiere bolpoten en moakt van swoar aikenholt.
De aandacht van Ester Edens werd getrokken door een klein dingetje.;Ester Edens heur aandacht wuir trokken deur n klaain dinseghaidje.
Ze drukte wat van de lappen opzij en zag een laptop.;Ze drukte wat van de lappen overzied en zag n laptop.
Ze schoof meer lappen en poetsen opzij en zag een doos.;Ze huil meer lappen en polten overzied en zag n deus.
“Dus toch!”, zei ze.;“Dus toch!”, zee ze.
“Wat is er dus toch?”, zei de vrouw.;“Wat is der dus toch?”, zee de vraauw.
Ester schrok zich een hoedje.;Ester stond stief oet van schrik.
Ze voelde zich betrapt.;Ze vuilde zuk betrapt.
Ze had hier niets te zoeken.;Ze haar hier gain zoaken.
Elke haar stond haar verkeerd op het hoofd.;Elke hoar ston heur verkeerd op t lief.
“Man, ik ben op zoek naar jou.;“Man, ik bin op zuik noar joe.
Kom ik heb koffie klaar.;Kom ik heb kovvie kloar.
Dan kunnen we een beetje praten.;Den kennen we n piepke proaten.
Is het allemaal gelukt?” Na de sanitaire stop, dwaalde ze door het huis op zoek naar de aardige vrouw.;Is t aalmoal lukt?” Noa de sanitaire stop, dwoalde ze deur t hoes op zuik noar d'oardege vraauw.
Ze had geen idee waar die was en wat die hier deed.;Ze haar gain idee woar dij was en wat dij hier dee.
Nu kon ze wel even een beter beeld krijgen van de zaak.;Nou kon ze wel eefkes n beter beeld kriegen van de zoak.
Toen ze plotseling uit het raam keek, zag ze dat de vrouw op Jan Huttinga;Dou ze mit slag oet roam keek, zag ze dat de vraauw op Jan Huttinga
Wat een paard...!;Vot peerd...!
Per ongeluk 7;Per ongeluk 7
Vandaag, de 19e juli 2012 las ik een berichtje in de;Vandoage, de 19e juli 2012 las ik n berichtje in t
Noorden over een oude kerel, die ze alsnog hebben opgepakt voor oorlogsmisdaden!;Noorden over n olle kerel, dij ze asnog oppakt hebben veur oorlogsmisdoaden!
Dat is de tweede alweer van de week..;Dat is de twijde al weer van de weke..
De één is 97 en de ander 91!;Aine is 97 en d'aander 91!
Heeft dat nog nut, vroeg ik me af?;Het dat nog nut, vroag ik mie òf?
En dan.., even later:..;En den.., even loater:..
ja, zeker!;joa, wis!
Zij hebben hun straf ontlopen en dat kan niet!;Zai hebben heur straf ontlopen en dat ken nait!
Mijn herinneringen gaan weer terug in de tijd.;Mien herinnerns goan weer trogge in de tied.
Ik was een jaar of zes, denk ik, en ik was graag bij boeren.;k Was n joar of zesse, ducht mie en ik was geern bie boeren.
Meestal bij Hinderk Boer, maar ook vaak een maal bij Jan Luung op Nijtap.;Mainsttied bie Hinderk Boer, mor ook voak n moal bie Jan Luung op Nijtap.
Hij had net een brief gekregen, dat hij zijn paard moest inleveren (zoals ik me herinner, had hij die samen met;Hai haar net n sedel kregen, dat e zien peerd inlevern mos (zoas ik mie herinner, haar e dij soam mit
Hinderk).;Hinderk).
Een mooi, sterk paard!;n Mooi, staark peerd!
Een bruine met een bles!;n Broene mit n bles!
Ik mocht er soms op rijden!;Ik mog der soms op rieden!
Zonder zadel.....;Zunder zoadel.....
stuitend zo op!;striedewiets der zo op!
Ik vroeg hem, of ik mee mocht.;Ik vroug hom, of ik mit mog.
Dat vond hij goed en zo trokken wij donderdag samen op het paard zittend naar Roon.;Dat was hom goud en zo togen wie dij dunderdag soam op t peerd zittend noar Roon.
Er waren wel behoorlijk wat boeren met hun paard.;Der wazzen wel vatteg boeren mit heur peerd.
Ik heb mijn ogen uit mijn kop gekeken en waarschijnlijk afgevraagd, waarom zij;k Heb mie ogen oet kop keken en woarschienlek òfvroagd, wat of dij
morgen met zoveel paarden moesten.;Movven mit zoveul peerden mozzen.
Ik had ook ja nog geen verstand!;k Haar ook ja nog gain verstand!
Luung kreeg te horen, wat hij allemaal doen moest...;Luung kreeg te heuren, wat of e aal doun mos...
In looppas door de Herestraat tot aan de Raiffeissenbank en dan weer terug.;In looppas deur d'Herestroat tot aan de Raiffeissenbank en den weer trogge.
Wat een prachtig gezicht, al die paarden en wat liepen ze allemaal mooi!;Wat n pracht gezicht, aal dij peerden en wat laipen ze aal mooi!
Toen dat achter rogge was, kreeg hij te horen, dat het paard goedgekeurd was en dat hij wel kon vertrekken!;Dou dat achter rogge was, kreeg e te heuren, dat t peerd goudkeurd was en dat e wel òfraizen kon!
Geen dubbeltje kreeg hij!;Gain dubbeltje kreeg e!
En dat voor zo'n mooi paard!;En dat veur zo'n mooi peerd!
Ik was razend!;Ik was des duvels!
Kon altijd al niet tegen onrecht.....;Kon al nooit tegen onrecht.....
en dit sloeg voor mij alles!;en dit sloug veur mie ales!
Hoe moeten jullie het nu binnen halen?;Hou mouten ie t heu nou binnen hoalen?
En ploegen?;En plougen?
En de mest over het land brengen?;En de mizze over t laand brengen?
Ik weet niet of ik daar antwoord op kreeg van Luung.;k Wait nait of k der antwoord op kregen heb van Luung.
Wel zag ik hem in mijn herinneringen nog met kop naar beneden lopen en rode zakdoek altijd aan de ogen!;Wel zai k hom in mien herinnerns nog mit kop noar beneden lopen en rooie buusdouk aalgedureg aan d'ogen!
Sikkom zeven jaar later word je er weer aan herinnerd, door een stokje in het;Sikkom zeuventeg joar loater wor je der weer aan herinnerd, deur n stokje in t
Noorden....;Noorden....
(sorry: Dagblad van het Noorden).;(sorry: Dagblad van t Noorden).
Zullen wij beide hetzelfde gedacht hebben bij het naar huis gaan?: HET PAARD...!;Zellen wie baide t zulfde docht hebben bie t noar hoes goan?: VOT PEERD...!
Vandaag stapte ik per ongeluk;Vandoag stapte ik per ongeluk
Op de verkeerde trein;Op de verkeerde traain
Maar het belangrijkste dat tegen mij overkwam was een stuk;Mor t wicht schuun tegen mie over was n stuk
Dat had ik in een oogopslag wel gezien;Dat haar k in n oogopslag wel zain
Dus eigenlijk was het per ongeluk;Dus aiglieks was t perrongeluk
Wever;Wever
Heel snel weer thuis;Hail boudel ien toes
Och,;Och,
Heer mijn tijd;Heere mien tied
Ik ben een wever;Ik bin n wever
Verward geraakt;Verwaard roakt
En droeg wel eens kwijt;En droad wel ains kwiet
Schommelstoel;Schommelstoul
Op zolder bij ons oma;Op zolder bie ons opoe
Daar stond een heel oude stoel;Doar ston n hail ol stoul
En als je erin gaan zitten;En as je der in zitten gingen
Dan gaf dat een raar gevoel;Den gaf dat n roar gevuil
Die stoel die bewoog;Dai stoule dai bewoog
Naar voren en dan naar achteren;Noar veur en den noar achter t
Was ja ook een schommelstoel;Was ja ook een schommelstoul
Heel hard of juist wat zachter;Hail haard of juust wat zachter
Mijn opa zat er altijd in;Mien opa zat der altied in
Stijf van de reumatiek;Stief van de rummetiek
Voorzichtig ging hij op een deel;Veurzichteg ging hai op en deel
Met in zijn mondhoek een pijp;Mit in zien mondhouk een piep
Ik zat dan bij hem op schoot;Ik zat den bie hom op knij
Hij was mijn sterke peerd;Hai was mien staarke peerd
Maar toen ineens was de stoel leeg;Mor dou inain was stoule leeg
Mijn opa was nu bij God;Mien opa was nou bie oom
Ik sta op zolder bij mijn oma;Ik stoa op zolder bie mien opoe
En die stoel staat in een hoek;En dai stoul staait in n houk
Verrek, zag ik hem nu bewegen?;Verrek zag ik hom nou bewegen?
Kan niet, het is een dichtgeslagen boek van Cor Uildriks;Kin nait, t is een dichtsloagen bouk Cor Uildriks
Een dikke deugniet;Ain dikke deugnait
"Men zegt wel eens: ""Hoe ouder hoe gekker!""";Man zegt wel ais: “Hou older hou gekker!”
Dat geldt vanzelfs niet voor iedereen, maar bepaalde mensen hebben altijd wat om mee te maken.;Dat geldt vanzölfs nait veur elkenaine, mor paardie lu hebben aaltied wat ommaans.
Zoals sommige mensen altijd 'aan het gat' hebben gehangen, liep Hinnerk op ondeugend.;Zoas sommege lu aaid ‘lag aan t gat’ hangen hebben, luip Hinnerk op ondeugde.
Kon het op zijn leeftijd zelfs nog niet laten.;Kon t op zien older zölfs nog nait loaten.
Misschien omdat hij dan nog meer tijd had voor zulke flauwe kuren.;Meschain omreden dat e din nog meer tied har veur zokse fiebeldekwinten.
Hinnerk Bartels was daar een sprekend voorbeeld van.;Hinnerk Bartels was der n sprekend veurbeeld van.
In zijn jonge jaren was het altijd al een kurendrijver geweest.;In zien jonge joaren was t aaltied al n kurendriever west.
Als Hinnerk in de buurt was, moest je oppassen.;As Hinnerk in buurde was, mos je joe woaren.
Water in stevels of klompen en een hoop andere fratsen meer.;Woater in stevels of klompen en n bult hobeleko meer.
Iedereen was daar, door ervaringen wijs geworden, wel op bedacht, maar elke keer had die vent je weer te pakken.;Elks was der, deur ervoarens wies worren, wel op bedocht, mor elke raaize har dij vint je weer bie de poot.
Vooral op winterdagen ging het er samen met een koppel eenspanners soms roar om weg.;Veuraal bie winterdag göng t er soam mit n koppel ainspaanjers paartieds roar om weg.
Zo hadden ze een lang dik touw aan de hoanebaalk van de schuur geknoopt.;Zo haren ze n laang dik hoarentaauw aan hoanebaalk van schure knupt.
Om de beurt probeerden ze zo snel mogelijk de balken aan te raken.;Omstebeurt pebaarden ze zo rad meuglek baalke aan te roaken.
Het deed er in het begin wel wat toe, maar gaandeweg kregen ze slagzij te pakken.;t Dee der in aanvang wel wat tou, mor goandeweg kregen ze slag nuver te pakken.
Hinnerk zat na een zetje al in een flits wijd boven op de balken en keek om zich heen wat hij nu eens kon doen.;Hinnerk zat noa n zetje al in n poep en n scheet striedewieds boven op baalke en loerde om zoch tou, wat of e nou es doun kon.
Buurman;Noaber
Rieks stond een maal halverwege een leeg heuvak rond te kijken of hij;Rieks ston n moal haalfweg n leeg heuvak rond te kieken of e
Hinnerk, die bij zijn vrouw;Hinnerk, dij bie zien vraauw
Anna ja in een schuur geweest moest zijn, ook zag.;Anna ja in schure wezen mos, ok zag.
Hinnerk had hem al lang in het vizier, maar wachtte zijn kans af.;Hinnerk har hom al laank in t snötje, mor wachtte ziens kaans òf.
Ineens kreeg Rieks een straal warm water op zijn borst.;Inain kreeg Rieks n stroal waarm woater op zien hazzens.
Verbaasd keek hij om zich heen en omhoog en kreeg die ontaarde in de smiezen die breeduit op de balk zat, met zijn lippie buiten boord.;Verhilderd keek e om zoch tou en omhoog en kreeg dij onterik in de smiezen dij braidoet op baalke zat, mit zien snobbeltje boeten boord.
