nld_Latn;gos_Latn
Ik ben helemaal niet achtergelaten.;“Ik bin haildal nait achteruutrold.
Jullie zijn achter mijn reden. Ik stond toch stil, probeert;Ie binnen achterop mie reden.” “Ik ston ja stil,” perbaaiert
Riko haar gelijk te krijgen, Laat ons de politie van mor bijhouden. Meen je dat echt?, vraagt de chauffeur, Van mij mag het, maar ik heb geen schade.;Rikoa heur geliek te hoalen, “loat we de plietsie der mor biehoalen.” “Main ie dat echt?”, vragt de sjefeur, “Van mie mag t, mor ik heb gain schoade.
Als je de politie derbij hebt willen hebben, dan zal ik hen vertellen dat jullie zijn ingang zijn.;As je de plietsie derbie hebben willen, din zel ik heur vertellen, dat ie veuruutreden binnen.”
Rico begint te twijfelen.;Rikoa begunt te twieveln.
Als u niet achteruit bent gegaan, hoe kom ik dan tegen uw bus aan?, vraagt ze onzeker.;“As ie nait achteruutreden binnen, hou kom ik din tegen joen bus aan?”, vragt ze onzeker.
Hebben jullie even wat anders gedaan?;“Hebben ie even wat aans doan?
Aan de radio aangesloten of zoiets?;Aan de radio draaid of zukswat?”
Plotseling bedacht;Inains bedinkt
Rika zei dat ze een pepermuntje wilde oppakken en dat ze zich voorover boekte het wiel dat de auto in de versnelling stond.;Rikoa dat ze n pepermuntje oppakken wol en dat ze zuk veurover boekt het terwiel dat d’auto in de versnellen ston.
Ze heeft het paar niet genoeg ingeprent.;Ze het de koppeln nait genog intrapt.
Riko krijgt een kopje als een broodje.;Rikoa krigt n kop as n robaide.
Het is mijn eigen schuld, zegt ze verlegen en stapt dan maar snel in de auto.;“t Is mien aigen schuld”, zegt ze verlegen en stapt din mor gaauw in d’auto.
Die heeft geluk nog wel willen rijden.;Dij wil gelokkeg nog wel rieden.
Ze maakt dat ze wegkomt.;Ze moakt dat ze votkomt.
Onderweg naar huis ziet Rikoa de buidel al hangen.;Onderwegens noar huus zugt Rikoa de buie al hangen.
Wat zal Hammer wel zeggen.;Wat zel Haarm wel zeggen.
Hij is zo wijs met zijn waachtje.;Hai is ja zo wies mit zien woagentje.
En dan krijgt ze een idee.;En din krigt ze n idee.
Ze parkeert haar auto op de entree en rent het huis in.;Ze parkeert d’auto op d’inrit en lopt t huus in.
"""Best er al weer?"", verbaast Haarm zich.";“Bist ter al weer?”, verboast Haarm zuk.
Ja, er had iemand een rijden en daar kon ik ter niet langs.;“Joa, der haar aine n aanrieden had en dou kon k ter nait langs.
Ik ga vanmiddag nog even.;Ik goa vannommerdag nog wel even.
"Ik ben nu helemaal uit het stuur, vertelt Rikoa, ""dat er iemand achterop een bus gereden was.";Ik bin nou haildaal uut stuur,” vertelt Rikoa, “der was aine achterop n bus reden.
De hele voorkant lag in het poeder. Waren er ook gewonden bij?, wil Haarm weten.;d’Haile veurkaande lag in de poeier.” “Wazzen der ook gewonden bie?”, wil Haarm waiten.
Nee, dat niet. Wat maak je daar druk op.;“Nee, dat nait.” “Wat moakst die din drok.
Het is toch allemaal goed aflopen.;t Is ja aal goud oflopen.
Zulke auto wordt wel weer klaar.;Zo’n auto wordt wel weer kloar.
Daar verdient de duitsdeuker dan ook nog wat aan. Even is Rikoa blij dat Ham zo reageert.;Doar verdaint duutdeuker din ook nog wat aan.” Even is Rikoa bliede dat Haarm zo reageert.
Maar het was onze auto.;“Mor t was ons auto.
Ik heb tegen die bus aangestemd. Het is of de poot door een imme gestoken wordt.;Ik heb tegen dij bus aanzeten.” t Is of Haarm deur n ieme stoken wordt.
Mijn auto?;“Mien auto?
Mijn nieuwe auto?;Mien nije auto?
Jij dronken piloot!;Doe brokkenpiloot!
Jij wegpirat!;Doe wegpiroat!
Hoe kun je toch zo dom zijn? Met een best gang gaat hij naar de opluchting om de schade op te nemen.;Hou konst wel zo stom wezen?” Mit n beste gang baint e noar d’oprit om de schoade op te nemen.
Hij bekijkt met tranen in de doos of het wolkentje ernaartoe staat en ziet dat het nog veel slechter is dan dat hij had gedacht.;Hai bekikt mit troanen in d’ogen hou of t woagentje derbie staait en zugt dat t nog veul slimmer is as dat e docht het.”
Rico is hem achtervolgd.;Rikoa is hom noalopen.
"""Naast schelden Haarm,"" zegt ze voorzichtig, ""nu verdient de buitenwijker 10 van hen ook nog wat aan.";“Nait schelden Haarm,” zegt ze veurzichteg, “nou verdaint d’uutdeuker 10 der ook nog wat aan.
Het is immers alleen maar geld.;t Is ja allaine mor geld.
ik ben er wel goed uitgekomen.;ik bin der ja goud ofkommen.
Dat zei je net, ja.;Dat zeestoe net zulf ja.”
De havik kijkt haar verbaasd aan en dan ziet hij de schrik die er nog in zit;Haarm kikt heur verboasd aan en din zugt e de schrik dij nog in
Rika haar ogen staat.;Rikoa heur ogen staait.
Hij slaat de arm om haar heen en dan gaan ze naar huis.;Hai slagt d’aarm om heur tou en din goan ze in huus.
Rieko om koffie te maken en Harm om een uitgever te bellen.;Rikoa om kovvie te moaken en Haarm om n uutdeuker te bellen.
Helpt het;Mithelpen t
Wasmaand en den komen bij mij altijd de toenkriebels, dus toen ik op een maandag vrij was, besloot ik dat ik maar even aan de wandeling moest gaan.;Was maaimoand en den kommen bie mie altied de toenkriebels, dus dou ik op n moandag vrij was besloot ik dat ik mor ais in toen aan loop mos.
De heuvel moest worden geknipt, het gras gemaaid, de bloemen schovveld, er was genoeg te doen.;De hege mos knipt worden, t gras maaid, de bloumen schovveld, der was genog te doun.
Mijn oudste zoon;Mien oldste zeun
Jan was naar school en de kleinste, wij;Jan was noar schoule en de klaainste, ons
Geer, haar klompjes al aan, want hij moest me helpen in toen.;Geert, haar klompkes al aan, want hai mos mie mithelpen in toen.
Dat was mijn vrouw graag, want dan kon ze mooi wat aan haar huishouden doen, omringd met zo'n handbandje als ons;Dat was mien vraauw geern goud, want den kon zai mooi wat aan heur hoesholden doun, omreden mit zo'n handbindertje as ons
Jeert kwam dat er soms niet zo goed van af.;Geert kwam dat der sums nait zo goud van.
Toen ik de heuvel aan het knippen was, ging klein, met een bladhaar die groter was dan zichzelf, het afval bij elkaar hevigen.;Dou ik de hege aan t knippen was ging leutje, mit n bladhaark dij groter was as homzulf, t òfval bie nkander haarken.
Dat deed hij met zoveel plezier, dat ik de tuinbladeren over de hele tuin had verspreid.;Dat dee hai mit zoveul plezaaier, dat ik de hegebloaden over de haile toene verspraaid haar.
O, dacht ik, toch maar, kan hij ook geen katdekwoord uitkiezen.;Och, docht ik, vot ook mor, kin hai ook gain kaddekwoad oethoalen.
Om een uur of tien riep de vrouw ons koffie te drinken en we gingen er rustig bij zitten op het bankje in de zon.;Om n uur of tiene ruip de vraauw ons te kovviedrinken wie gingen der ais rusteg bie op t bankje in de zunne zitten.
"""Oh ja,"" zei de vrouw, ""ik ga zo even naar het dorp voor wat bosschoppen en ik zag die boer aan";"""Oh joa"", zee de vraauw, ""ik goa zo nog even noar t dörp veur wat bosschoppen en ik zag dat dij kweker aan"
De kerkvloer heeft bloemen in de aanbieding, zal ik je daar even wat mee nemen?;Kerkstroade bloumkes in d'aanbaiden het, zel ik die doar even wat van mitnemen?
"Je bent immers zo nuchter aan het lopen, dan kun je ze even wegpotten. """;"Bist ja zo nuver aan d'loop, den kinst ze vot even poten""."
Ik was het ja heel erg eens met haar, de jongen;Ik was t ja hailendaal mit heur ains, den haren
Ik zit nu achter mijn computer, ik heb oude foto's geïnstalleerd en ik neem die foto van ons;Ik zit nou achter mien computer, ik haar olle foto's inscand en dou ik dij foto van ons
De dwerg zag met die gouden bloem in de hand kwam dit verhaal weer boven.;Geert zag mit dij goldjebloum in haand kwam dit verhoal weer boven.
De geertje is nu twintig en zijn vader mithelp in de tuin is er lang niet meer bij, maar die goede streken heeft hij nog steeds en die koeljes in de wangen ook.;Geert is nou twinteg en zien pa mithelpen in toene is der allaank nait meer bie, mor dij gutege streken het hai nog altied en dij koeltjes in de wangen ook.
Cor Uildriks Kekerbilletjes Wat ik jullie vertel is echt gebeurd.;Cor Uildriks Kikkerbilletjes Wa'k joe vertel is staarvenswoar gebeurd.
Toen er nog niemand in zijn hoofd had moeten kikkerbiletjes eten, laat staan dat ze die voor een hoop geld in een restaurant aten, had ik er allemaal een proefje van gehad.;Dou nog gainain t zuk in d’kop huil kikkerbilletjes te eten, loat stoan dat ze dij veur n bult geld in n restaurant aten, haar ik z’al pruifd.
Al doe ik nog rauw, maar ik zal het van mijn levensdagen nooit vergeten.;Alewel dou nog raauw, mor k zel t van mien levensdoagen nooit vergeten.
In mei 1946 was ik als kleintje een bewonersje van vijf met ouders en twee zussen op bezoek bij de grootouders in;In maai ’46 was k as leutje beudeltje van vief mit ollu en twij zuskes op veziede bie grootolden in
Steep.;Steem.
De zussen hadden de leeftijd dat ze al zonder oud buiten konden spelen.;Zuskes haren leeftied dat ze al zunder ollu boeten speulen moggen.
Ik nog niet, ik moest thuis blijven.;Ik nog nait, k mos in hoes blieven.
Toen de meisjes na een poosje weer thuis kwamen, riepen ze bij de deur: Jopie hebben wat lekkers voor je.;Dou wichter noa n zetje weer in hoes kwamen, ruipen z’al bie deur: “Jopie w’hemmen wat lekkers veur die.
Ogen dicht en mond open. Dat liet ik mezelf niet twee keer zeggen.;Ogen dicht en mond open.” Dat luit k mie vanzulf gain twij moal zeggen.
Ze wisten dat als ik wat lekkere kreeg het daadwerkelijk tuzzen koezen kwam, want ik kon veel beter kauwen dan zuigen.;Ze wozzen, dat as k wat lekkers kreeg t votdoadelk tuzzen koezen kwam, omreden k kon veul beter kaauwen as zoegen.
Er werd iets in mijn mond gestopt en ik beet het weg in het midden.;Der wer mie wat in mond propt en k beet t vot middendeur.
Ik dacht dat het zoet zou zijn, maar het was smerig, glibberig spul.;Ik docht dat t slik wezen zol, mor t was smereg, glibberg spul.
Roepen, schreeuwen en rouwen tot mama erover kwam.;Brullen, roupen en reren tot moeke der overtou kwam.
De duivel was ze, en aan het eind van het lied was dat allebei de meisjes een pak gelaiter kregen en ik lekker slik om de smaak van de kikker te vergeten.;Duvels was ze, en t índ van t laid was dat baaide wichter n pak laaiter kregen en ik lekker slik om smoak van kikker te vergeten.
Joep Klompen hadden al wat kleur in de tuin.;Joop Klompien wie alvast wat kleur in toene.
Toen ze een paar uur later weer thuis kwam, had ik de tuin zo ver afgelegd.;Dou zai n poar uur loater weer bie hoes kwam, haar ik toene zo wied kloar.
Ik hoorde auto op de oprit en de eerste die om de hoek van het huis kwam was mijn schoonmoeder.;Ik heurde auto op oprit en eerste dij om houk van t hoes kwam was mien schoonmoeke.
"""Verrek!"" zei ik tegen mijn vrouw, ""horen ze die vogelschrikker ook in de tuin?""";"""Verrek"", zee ik tegen mien vraauw, ""haren ze dij vogelverschrikker ook in d'aanbaiden?"" t"
Olske greep van een klote zand en gooide dat naar mijn hoofd.;Olske greep vot n kloede zaand en smeet mie dat noar de kop.
"""Kom je vandaag maar eens bij mij in de buurt,"" zei ze, ""dan zal ik je nog eens eens laten kraaien.""";"""Kom doe vandoag moar ais bie mie in de buurt"", zee ze, ""den zel ik die nog ais kraaien loaten."""
O, ik kon goed opschieten met mijn schoonmoeder en dat plaagde over en weer dat er bij hoorde.;Och, ik kon goud mit mien schoonmoeke opschaiten en dat ploagen over en weer dat heurde der bie.
Als je grootmoeder in de smijzen zat, kreeg je haar in de moe, als;Geert opoe in de smiezen kreeg runde hai heur in de muide, as
Opoe kwam en kwam er meestal ook snoep mee.;Opoe kwam den kwam der mainsttied ook slikkerij mit.
En zo was het, toen Opoe klaar was met mokken kwam er toen al een lollie uit haar buik.;En zo was t, dou Opoe kloar was mit mokken kwam der vot al n lollie oet heur buutse.
"""Blommen staan in de kaddebak van de auto,"" zei de vrouw.";"""Bloumkes stoan in de kaddebak van auto"", zee de vraauw."
"""Goud,"" zei ik, ""den haal ik ze daar eventjes uit.""";"""Mooi"", zee ik, ""den hoal ik ze der votdoalek even oet."""
Toen ik klaar was met schouwen had ik vier kippen met bloemen achter het huis staan, er waren gouden bloemen, vlotte lichten, megrietten en tuuletoenen, de een bleed nog mooier dan de ander.;Dou ik kloar was mit sjaauwen haar ik vaaier kiskes mit bloumkes achter t hoes stoan, der wazzen goldjebloumen, vlaitege lieskes, megrieten en tudeletoanen, d'aine bluide nog mooier as d'aander.
Ik ging op mijn knieën liggen bij de border en begon de bloembollen te poesten.;Ik ging op mien knijen bie de border liggen en begon de bloumkes te poten.
De gast, die toen in herinnering kwam dat hij me aan het helpen was, legde me de bloembollen aan.;Geert, dij zuch inain weer herinnerde dat hai mie aan t helpen was, langde mie de bloumkes aan.
Dat ging hem verbazingwekkend af, iedere keer als ik een gatje in de grond stelde had hij alweer naast mij met een bloemje.;Dat gong hom meroakel òf, iederbod as ik n gatje in grond stoken haar ston hai al weer noast mie mit n bloumke.
Ik was al een mooi zet aan de been geweest en stond te gaan hoewel ik het wel eens gedaan had, dacht ik, maar nee,;Ik was al n mooi zet aan t poten west en stoadegaan mos t wel ais n moal doan wezen docht ik, mor nee,
De herten bleef maar de bloemen aanraken.;Geert bleef moar bloumkes aanslepen.
Toen ik eens achterom keek, stond er geen bloem in de tuin.;Dou ik ais achterom keek, ston der gain bloum in toene.
Wat was het nou, elk aanbod dat ik een bloempje had, trok;Wat was nou t geval, iederbod dat ik n bloumke poot haar, trok
Jeet hem er weer uit en langde hem mij weer in.;Geert hom der weer oet en langde hom mie weer tou.
Ik schopte hem weer,;Ik pootde hom weer,
De duif trok hem er weer uit en trok hem weer in en zo waren we al een stapje aan het lopen.;Geert trok hom der weer oet en langde hom weer tou en zo wazzen wie al n zetje aan d'loop.
Daar stond hij, mijn zoon Geert, drie jaar oud, zwart om het hoofd van het zand.;Doar ston hai, mien zeun Geert, drij joar old, swaart om kop van t zaand.
Toenbouken aan, klompen eronder, hoedje op kop, goudbloem in de hand.;Toenboksempie aan, klompkes der onder, petje op kop, goldjebloum in haand.
De broek lagend, met koeljes in de wangen.;Braid lagend, mit koeltjes in de wangen.
"""Kom hier,"" zei ik, ""dan krijg je een dikke knuffel en beginnen we hier van te voren te treden, maar nu moet je iederbod een bloembetje uit een van die koekjes halen.""";"""Kom hier"", zee k, ""den krigst n dikke knuvvel en begunnen wie hier vannijs te poten, mor nou most iederbod n bloumke oet ain van dij kiskes hoalen""."
Hij wilde altijd de anderen helpen;Aaltied d'aander helpen wol
Zodat ze alles uit het leven kon halen;Zodat ze alles uut t leven hoalen konnen
Maar dat zou dan ja mijn mening zijn;Mor dat zol dan ja mien dinken wezen
En niet hun eigen warme leven;En nait heur aigen waarme leven
U kunt veel leren over uzelf;Joe kinnen veul leren over joezulf
Als je van mensen houdt;As je van mìnsen hollen
Naar de mens kunnen we kijken;Noar mìnsen kieken kinnen
Met liefde van buitenaf zorgen over mensen;Mit laifde vanuut belaangstellen in mìnsen
Je kunt dan ontdekken hoe je jezelf bent;Je kinnen din ontdekken hou je zulf binnen
Denk dat je het voor iemand anders doet;Dinken dat je t veur n aander doun
Je inspant met hun gedachten en daden;Je bemuien mit hun dinken en doun
Met haar manier van leven bekijken;Mit heur menaaier van t leven bekieken
Ik ontdekte dat ik me daar zelf voorkeur aan gaf;Ik ondekte dat ik mie din zulf veurop stel k
Wil ze graag vertellen hoe ik erover denk;Wil ze geern vertellen hou ik t er over dink
Welke mogelijkheden zijn er nog meer;Welke meuglekhaiden der nog meer binnen
Maar dan heb ik ja over mezelf gesproken;Mor din heb ik het ja over miezulf
Wat zou er gebeuren als ik haar familie was;Wat zol der gebeuren as k heur femilie was
Die was ik ter hele tijd betrokken bij;Din was k ter huil aans bie betrokken
Mag ik dan ook mijn gedachten geven;Mag ik din ook mien dinken geven
Zijn er dan ook grenzen aan mijn gedachten;Binnen der din ook grìnzen aan dinken k
Zouden jullie niet weten hoe ik ter aan moest;Zol nait waiten hou k ter mit aan mos
Ik hou toch niet van haar en dan te vertellen;Ik hol toch van heur en din nait vertellen
Zou je het ook kunnen bekijken;Hou je t ook bekieken kinnen
Ik denk dat we allemaal een grens in het denken hebben;Ik dink wie hebben aalmoal n grìns in t dinken
Maar hoe zou het zijn als we gingen praten;Mor hou zol t wezen as we proaten gingen
Kun je om de beurt vertellen over onze gedachten;Mekoar om beurt vertellen over ons dinken
Zou het dan ook gebeuren kunnen;Zol t din ook gebeuren kinnen
Dat we samen verder gekomen zijn;Dat wie soamen wieder kommen
Volgens mij is mijn denken te beperkt;Volgens mie is mien dinken te begrìnsd
